Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",72.947200,-119.212400,0.000000,top
"C2","10uF","C_0402_1005Metric",83.208800,-123.327200,0.000000,top
"C3","10uF","C_0402_1005Metric",107.691600,-91.678800,90.000000,top
"C4","10uF","C_0402_1005Metric",113.028400,-96.606400,-90.000000,top
"C5","10uF","C_0402_1005Metric",94.969000,-94.803000,90.000000,top
"C6","10uF","C_0402_1005Metric",108.634200,-91.678800,90.000000,top
"C7","10uF","C_0402_1005Metric",71.982000,-95.819000,-90.000000,top
"C8","10uF","C_0402_1005Metric",93.826000,-100.444400,-90.000000,top
"C9","10uF","C_0402_1005Metric",106.703800,-91.678800,90.000000,top
"C10","10uF","C_0402_1005Metric",91.032000,-121.854000,180.000000,top
"C11","10uF","C_0402_1005Metric",71.575600,-119.669600,-90.000000,top
"C12","100nF","C_0402_1005Metric",72.000000,-98.000000,90.000000,top
"C13","100nF","C_0402_1005Metric",95.604000,-92.948800,-90.000000,top
"C14","10uF","C_0402_1005Metric",88.187200,-85.405000,-90.000000,top
"C15","100nF","C_0402_1005Metric",95.908800,-94.803000,90.000000,top
"C16","100nF","C_0402_1005Metric",113.028400,-98.486000,-90.000000,top
"C17","4.7uF","C_0402_1005Metric",81.306400,-123.378000,180.000000,top
"C20","10uF","C_0402_1005Metric",109.675600,-91.678800,90.000000,top
"C22","100nF","C_0402_1005Metric",71.982000,-93.787000,90.000000,top
"C25","100nF","C_0402_1005Metric",88.187200,-87.437000,-90.000000,top
"D1","SMAJ36CA-13-F","D_SMA",112.215600,-103.566000,-90.000000,top
"D2","1N5819","D_SOD-323",99.566400,-104.972600,90.000000,top
"D3","MB10S","SOIC245P670X290-4N",110.028100,-109.941400,180.000000,top
"D4","1N5819","D_SOD-323",99.566400,-110.238300,90.000000,top
"D6","1N5819","D_SOD-323",99.566400,-115.504000,90.000000,top
"D7","1N5819","D_SOD-323",102.106400,-120.330000,180.000000,top
"D10","1N5819","D_SOD-323",90.270000,-92.491600,180.000000,top
"D13","D_TVS_Dual_AAC","SOT-23",107.745200,-102.905600,180.000000,top
"D14","1N5819","D_SOD-323",102.157200,-92.898000,-90.000000,top
"D15","1N5819","D_SOD-323",111.555200,-98.232000,-90.000000,top
"J3","Conn_01x04_Female","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",95.654800,-87.530600,0.000000,top
"J4","10118194-0001LF","USB_Micro-B_Amphenol_10118194_Horizontal",83.183400,-85.750000,180.000000,top
"J7","Conn_01x12_Male","PinHeader_1x12_P1.27mm_Vertical",93.510800,-125.410000,-90.000000,top
"K1","G3VM-62J1","G3VM-62J1",94.638800,-106.360000,0.000000,top
"K2","G3VM-62J1","G3VM-62J1",94.638800,-116.316800,0.000000,top
"Q1","S8050G","SOT-23",80.414800,-121.142800,180.000000,top
"Q2","S8050G","SOT-23",81.126000,-97.470000,0.000000,top
"Q7","AO3401A","SOT-23",86.866400,-90.307200,90.000000,top
"R1","330R","R_0402_1005Metric",92.048000,-100.822800,180.000000,top
"R2","330R","R_0402_1005Metric",92.048000,-99.806800,180.000000,top
"R3","330R","R_0402_1005Metric",89.914400,-119.669600,90.000000,top
"R4","330R","R_0402_1005Metric",88.949200,-119.669600,90.000000,top
"R5","1k","R_0402_1005Metric",99.546400,-102.840700,180.000000,top
"R6","1k","R_0402_1005Metric",99.546400,-101.838800,0.000000,top
"R7","1k","R_0402_1005Metric",99.546400,-108.106400,180.000000,top
"R8","1k","R_0402_1005Metric",78.484400,-89.596000,90.000000,top
"R9","1k","R_0402_1005Metric",99.546400,-107.104500,0.000000,top
"R10","10","R_0402_1005Metric",92.581400,-95.793600,0.000000,top
"R11","10","R_0402_1005Metric",92.581400,-96.784200,0.000000,top
"R12","1k","R_0402_1005Metric",83.589800,-96.403200,-90.000000,top
"R13","1k","R_0402_1005Metric",104.443200,-98.943200,0.000000,top
"R14","10k","R_0402_1005Metric",79.398800,-123.378000,0.000000,top
"R15","10k","R_0402_1005Metric",82.853200,-121.600000,90.000000,top
"R16","10k","R_0402_1005Metric",80.668800,-94.828400,90.000000,top
"R17","22.1k","R_0402_1005Metric",80.414800,-89.596000,-90.000000,top
"R18","47.5k","R_0402_1005Metric",79.449600,-89.596000,-90.000000,top
"R19","10k","R_0402_1005Metric",106.475200,-98.232000,-90.000000,top
"R20","10k","R_0402_1005Metric",106.399000,-89.469000,-90.000000,top
"R21","10k","R_0402_1005Metric",94.638800,-92.948800,-90.000000,top
"R22","10k","R_0402_1005Metric",101.242800,-97.417200,-90.000000,top
"R23","47.5k","R_0402_1005Metric",100.277600,-97.417200,90.000000,top
"R24","330R","R_0402_1005Metric",94.791200,-100.416400,-90.000000,top
"R25","1k","R_0402_1005Metric",99.546400,-113.372100,180.000000,top
"R26","1k","R_0402_1005Metric",99.546400,-112.370200,0.000000,top
"R27","1k","R_0402_1005Metric",99.972800,-119.060000,-90.000000,top
"R28","1k","R_0402_1005Metric",99.515600,-117.637600,0.000000,top
"R29","47.5k","R_0402_1005Metric",100.226800,-91.882000,0.000000,top
"R30","22.1k","R_0402_1005Metric",104.138400,-94.472800,180.000000,top
"U2","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",87.882400,-96.352400,0.000000,top
"U3","SPX3819M5-L-3-3","SOT-23-5",98.652000,-94.117200,0.000000,top
"U4","ESP32-WROOM-32D","ESP32-WROOM-32",79.957600,-108.950800,90.000000,top
"U5","LM321","SOT-23-5",103.859000,-96.733400,180.000000,top
"U6","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",75.792000,-93.914000,180.000000,top
"U8","SRV05-4","SOT-23-6",83.412000,-90.866000,-90.000000,top
