Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x10_Female","PinHeader_2x05_P2.00mm_Vertical_SMD",-85.050000,-99.600000,-90.000000,bottom
"J2","JTAG","PinHeader_1x04_P2.00mm_Vertical",-79.950000,-119.650000,90.000000,bottom
"J3","USB-Tag","USB-Tag_6pol",-85.500000,-127.200000,180.000000,bottom
"J4","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",-102.800000,-98.050000,90.000000,bottom
"J7","Conn_01x04_Female","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",-98.050000,-87.850000,180.000000,bottom
"T1","725996-2","7259962",-113.350000,-96.547961,0.000000,bottom
"T2","725996-2","7259962",-113.350000,-104.515307,0.000000,bottom
"T3","725996-2","7259962",-113.350000,-112.482653,0.000000,bottom
"T4","725996-2","7259962",-113.350000,-120.449999,0.000000,bottom
"T5","725996-2","7259962",-113.350000,-116.466326,0.000000,bottom
"T6","725996-2","7259962",-113.350000,-108.498980,0.000000,bottom
"T7","725996-2","7259962",-113.350000,-100.531634,0.000000,bottom
"T8","725996-2","7259962",-113.350000,-92.564288,0.000000,bottom
"U1","TSR_1-2433","Converter_DCDC_TRACO_TSR-1_THT",-87.552200,-88.935600,180.000000,bottom
